pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
2,1,92.1790241,29.85817932,23823.51707,7.149757124,0.238663915,0.431175454,68.99827445,31.94783754,4.041526029,3.900781082,21.39130434,11.51861609,0.113778341,0.10888696,0.222656336
2,2,92.1790241,30.71817932,21125.6085,6.521185695,0.268663915,0.380423438,53.59256017,38.44783754,5.686526029,3.445781082,25.49963767,11.66028276,0.146273682,0.087605144,0.233869861
2,4,91.9691558,35.77817932,16893.43707,6.075471409,0.208663915,0.374069165,56.87256017,35.7889049,5.740263108,4.424038313,24.89130434,14.31451449,0.150968688,0.114966146,0.265925868
2,5,92.9691558,28.65558413,16706.96969,4.859605046,0.387079365,0.437996971,45.80871611,26.46748089,4.26898455,2.190653579,19.75230739,8.301719749,0.138847326,0.069558096,0.208396458
2,7,99.88455759,25.94741781,21350.39508,5.891397648,0.495987513,0.335896627,33.02466492,31.63907981,4.24019802,2.791904638,23.92099539,12.94075977,0.121246796,0.077006742,0.198244573
2,8,85.88455759,34.08375046,13242.59571,4.284955302,0.338171216,0.326295942,31.34705304,28.94023604,4.833153662,4.615838872,17.07528606,13.28909521,0.118740633,0.11551719,0.234248858
2,9,100.1790241,22.68741781,26967.70936,6.451397648,0.365987513,0.372340513,53.82466492,29.87644543,3.483297559,2.568703214,22.61266206,13.09125816,0.143544854,0.105532386,0.249068275
2,10,73.03179084,34.51748792,16731.97467,5.016932307,0.328770369,0.476321538,43.99988281,27.72199868,3.165991382,2.961136356,14.74057979,13.12445443,0.102804481,0.100630592,0.20342611
2,14,91.9691558,22.32817932,20292.41993,4.566899981,0.258663915,0.375676949,74.0611316,26.2889049,2.856263108,1.399038313,19.05797101,7.472847824,0.150145693,0.071017625,0.221154353
2,15,78.88455759,29.95191678,18450.2446,5.024591272,0.379263068,0.387826539,35.46824709,28.19020413,2.628103573,2.668532006,17.0399314,14.77865841,0.084933716,0.088505406,0.173430158
2,16,92.88455759,NA,NA,NA,0.347079365,NA,NA,25.19026794,4.131203751,2.268145737,17.41064072,9.266198695,0.154687754,0.085232024,0.239910813
2,18,90.04344111,30.3633697,20362.68043,6.130061278,0.251833015,0.417552221,61.66310541,31.19057744,4.985808567,2.606695775,23.67763158,10.80387443,0.168822031,0.086646986,0.255460052
2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21,79.04344111,34.07191678,16911.07889,5.2531627,0.299263068,0.416220675,44.29110423,30.47624159,3.506872713,3.614927844,16.94826473,14.07794992,0.107286946,0.112502094,0.219780075
2,23,92.88455759,28.73558413,22670.48969,6.585319331,0.337079365,0.454556274,53.90014469,27.63904791,3.817147931,2.348597772,21.06897405,9.671232055,0.15555993,0.0939878,0.249538765
2,24,79.04344111,33.86191678,14615.65032,4.418876986,0.419263068,0.419003608,29.54824709,25.47624159,2.729872713,2.894927844,15.9399314,13.88628325,0.095866593,0.101960802,0.19781843
2,25,66.04344111,40.54565424,15615.80641,5.276568277,0.25986222,0.40886899,42.48679115,35.40475378,3.450493977,3.567929379,19.68855846,16.61094822,0.090455727,0.100213523,0.190660286
2,26,99.88455759,33.36741781,18182.38365,6.428540505,0.375987513,0.430293635,41.8703792,28.13907981,4.49119802,2.593904638,19.39599539,9.290759774,0.153884525,0.087387492,0.241263051
2,28,99.99498253,31.77741781,16337.06936,5.559969076,0.365987513,0.4491082,46.31609349,30.78940668,4.275890245,2.69544616,22.64599539,12.16779136,0.156426498,0.102328728,0.258746262
2,30,91.99498253,30.75817932,16828.69422,5.206899981,0.268663915,0.385370602,53.05541731,34.61079879,4.871118715,2.704524028,24.04130434,11.30348261,0.160587913,0.092396431,0.252975379
2,31,78.88455759,36.92191678,15468.49603,5.196019843,0.249263068,0.338292331,40.11967566,30.13898411,3.316047754,3.610984041,19.42326473,14.42611601,0.108453726,0.119108992,0.227553755
2,32,86.1790241,31.83375046,16790.43571,5.119241016,0.288171216,0.413132867,50.26133875,26.62638163,3.508197382,2.646089483,16.95861939,10.44538454,0.129976271,0.096684011,0.226651317
2,33,85.88455759,28.09375046,19606.05857,5.290669588,0.338171216,0.418811597,50.03276732,29.69023604,4.286153662,3.639838872,17.71695273,12.68076188,0.123755575,0.106292846,0.230039456
